"","siteName","studyCode","investigators","first_year","last_year","latitude","longitude","elevation","species","reference","doi","contr_year","NOAAStudyId","NOAASiteId","url"
"1","Cherry Canyon NM","USCHR001","Brown, P.M.",1638,1995,32.83,-105.47,2260,"PIPO, QUGA",NA,NA,2008,"2030","20129","https://www.ncdc.noaa.gov/paleo/study/2030"
"2","Denny Hill","USDEH001","Brown, P.M.",1640,2000,32.83,-105.53,2310,"JUDE, PIPO, QUGA",NA,NA,2008,"2037","20136","https://www.ncdc.noaa.gov/paleo/study/2037"
"3","James Ridge","USJAM001","Brown, P.M.",1650,2000,32.97,-105.6,2530,"JUDE, PIPO, PSME, QUGA",NA,NA,2008,"2043","20142","https://www.ncdc.noaa.gov/paleo/study/2043"
"4","Lower San Andreas","USSAC001","Brown, P.M.",1590,1995,32.8,-105.87,2300,"PIPO, QUGA",NA,NA,2008,"2053","20152","https://www.ncdc.noaa.gov/paleo/study/2053"
"5","Abajo Mountain - IMPD USABM001","USABM001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1120,2003,37.892186,-109.949147,2894,"ABCO, PCEN, PIPO, PSME, QUGA","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.",NA,2021,"33232","58932","https://www.ncdc.noaa.gov/paleo/study/33232"
"6","Squaretop Mountain","USSQM001","Tepley, A.,J.; Veblen, T.T.",1598,2012,37.230414,-106.801681,2744,"ABCO, PIFL, PIPO, QUGA","Tepley, Alan, J.;Veblen,Thomas,T.;. 2015. Spatiotemporal fire dynamics in mixed-conifer and aspen forests in the San Juan Mountains of southwestern Colorado, USA. Ecological Monographs. . doi: 10.1890/14-1496.1",NA,2015,"18916","56532","https://www.ncdc.noaa.gov/paleo/study/18916"
